Original Filename	Sample Name	Glucose Concentration	Time	Component Name	Mass Info	Area	Modified
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Succinate 118/74	118.0 / 74.0	20834.72	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Succinate 119/74	119.0 / 74.0	N/A	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Succinate 119/75	119.0 / 75.0	3541.967256	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Succinate 120/75	120.0 / 75.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Succinate 120/76	120.0 / 76.0	N/A	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Succinate 121/76	121.0 / 76.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Ribose 5P 229/79	229.0 / 79.0	420702.22	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Ribose 5P 230/79	230.0 / 79.0	80943.36	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Ribose 5P 231/79	231.0 / 79.0	30668.96	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Ribose 5P 232/79	232.0 / 79.0	21496.92	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Ribose 5P 233/79	233.0 / 79.0	50589.6	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	Ribose 5P 234/79	234.0 / 79.0	4255.2	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	glucose 179/179	179.0 / 179.0	302387.7625	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	glucose 180/180	180.0 / 180.0	138372.8	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	glucose 181/181	181.0 / 181.0	3438055.347	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	glucose 182/182	182.0 / 182.0	119271.68	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	glucose 183/183	183.0 / 183.0	40314.08	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	glucose 184/184	184.0 / 184.0	63229.12	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	glucose 185/185	185.0 / 185.0	13805.76	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	glucose 179/89	179.0 / 89.0	98909.76	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	glucose 180/90	180.0 / 90.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	glucose 181/91	181.0 / 91.0	252.16	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 314)	A. [13C-glc] G9 0min cit	G9	0min	glucose 182/92	182.0 / 92.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	124/ 80 M-1 taurine	124.0 / 80.0	1786396	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	128/ 80 M-1 d4 taurine	128.0 / 80.0	332378.4	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate C1-C6 M+0	191.0 / 191.0	62309636.68	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 191/111	191.0 / 111.0	41627672.05	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 192/111	192.0 / 111.0	643482.9	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 192/112	192.0 / 112.0	2581993.827	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 193/112	193.0 / 112.0	9508919.634	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 193/113	193.0 / 113.0	9956966.927	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 194/113	194.0 / 113.0	692181.85	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 194/114	194.0 / 114.0	906045.95	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 195/114	195.0 / 114.0	209105.5885	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 195/115	195.0 / 115.0	142785.6	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 196/115	196.0 / 115.0	667743.4079	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 196/116	196.0 / 116.0	421975.1	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 197/116	197.0 / 116.0	21596.93129	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 191/67	191.0 / 67.0	2817646.98	FALSE
