,NA corrected,Label,Sample Name,formula,name
6,0.0,C13_151.0_133.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 151/133
7,0.0,C13_151.0_133.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 151/133
8,0.0,C13_151.0_133.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 151/133
9,0.0,C13_151.0_133.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 151/133
10,0.0,C13_151.0_133.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 151/133
11,0.0,C13_151.0_133.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 151/133
0,352791.010636,C13_148.0_130.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 148/130
1,739311.750485,C13_148.0_130.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 148/130
2,443975.027779,C13_148.0_130.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 148/130
3,633303.909885,C13_148.0_130.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 148/130
4,532322.082352,C13_148.0_130.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 148/130
5,738252.311912,C13_148.0_130.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 148/130
6,0.0,C13_148.0_130.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 148/130
7,0.0,C13_148.0_130.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 148/130
8,0.0,C13_148.0_130.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 148/130
9,0.0,C13_148.0_130.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 148/130
10,0.0,C13_148.0_130.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 148/130
11,0.0,C13_148.0_130.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 148/130
0,65559.626172,C13_150.0_132.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 150/132
1,99404.259787,C13_150.0_132.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 150/132
2,61539.1523035,C13_150.0_132.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 150/132
3,90212.68372,C13_150.0_132.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 150/132
4,81070.473588,C13_150.0_132.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 150/132
5,108799.550786,C13_150.0_132.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 150/132
6,0.0,C13_150.0_132.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 150/132
7,0.325268926838,C13_150.0_132.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 150/132
8,0.0,C13_150.0_132.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 150/132
9,0.0,C13_150.0_132.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 150/132
10,0.0,C13_150.0_132.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 150/132
11,0.0,C13_150.0_132.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 150/132
0,36043.9364053,C13_149.0_131.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 149/131
1,67176.7134893,C13_149.0_131.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 149/131
2,33072.8599823,C13_149.0_131.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 149/131
3,57376.6720823,C13_149.0_131.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 149/131
4,45145.3154698,C13_149.0_131.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 149/131
5,70910.6407488,C13_149.0_131.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 149/131
6,0.0,C13_149.0_131.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 149/131
7,0.0,C13_149.0_131.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 149/131
8,0.0,C13_149.0_131.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 149/131
9,51.658473399,C13_149.0_131.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 149/131
10,0.0,C13_149.0_131.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 149/131
11,0.0,C13_149.0_131.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 149/131
0,3758.2684998,C13_195.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/71
1,1748.80966378,C13_195.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/71
2,208.794385701,C13_195.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/71
3,2688.3189242,C13_195.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/71
4,909.328804199,C13_195.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/71
5,3941.06452213,C13_195.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 195/71
6,0.0,C13_195.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/71
7,0.0,C13_195.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/71
8,0.0,C13_195.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/71
9,0.0197144949854,C13_195.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/71
10,0.0,C13_195.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/71
11,0.0,C13_195.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 195/71
0,37764.9685478,C13_194.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/69
1,30393.9745051,C13_194.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/69
2,11352.0823028,C13_194.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/69
3,31738.9113028,C13_194.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/69
4,30613.2082628,C13_194.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/69
5,36782.9508198,C13_194.0_69.0,T. [13C-glc] G7 30min,C4H3O,Citrate 194/69
6,0.0,C13_194.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/69
7,0.0,C13_194.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/69
8,0.0,C13_194.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/69
9,0.0,C13_194.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/69
10,0.0,C13_194.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/69
11,0.0,C13_194.0_69.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 194/69
0,0.0,C13_193.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/67
1,0.0,C13_193.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/67
