,Intensity,Name,Modified,Original Filename,Sample Name,Formula,Parent,Parent_Formula,Label,tups
98,10324707.6116,Citrate 191/111,True,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 492)",S. [13C-glc] G7 15min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
99,2829404.8,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 493)",T. [13C-glc] G7 30min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
100,5087032.1,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 494)",U. [13C-glc] G7 60min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
101,5694428.2,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 495)",V. [13C-glc] G7 120min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
102,5030796.26404,Citrate 191/111,True,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 496)",W. [13C-glc] G7 240min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
103,12988754.0719,Citrate 191/111,True,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 497)","X. [6,6-DD-glc] G7 240min",C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
104,8352155.166,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 498)",A. [13C-glc] G2.5 0min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
105,8001844.742,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 499)",B. [13C-glc] G2.5 5min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
106,6803386.424,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 500)",C. [13C-glc] G2.5 15min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
107,4806748.4,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 501)",D. [13C-glc] G2.5 30min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
108,5077422.85,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 502)",E. [13C-glc] G2.5 60min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
109,4050812.3,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 503)",F. [13C-glc] G2.5 120min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
110,4987907.4,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 504)",G. [13C-glc] G2.5 240min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
111,8820492.50071,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 505)","H. [6,6-DD-glc] G2.5 240min",C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
112,11350798.004,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 506)",I. [13C-glc] G5 0min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
113,9929767.288,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 507)",J. [13C-glc] G5 5min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
114,5789696.7,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 508)",K. [13C-glc] G5 15min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
115,4713757.7,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 509)",L. [13C-glc] G5 30min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
116,4591559.58026,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 510)",M. [13C-glc] G5 60min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
117,3747117.5,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 511)",N. [13C-glc] G5 120min,C5H3O3,Citrate 191/191,C6H7O7,C13_191.0_111.0,"('Citrate 191/111', u'C5H3O3', u'C6H7O7')"
