,col_name,Label,Sample Name,formula,name
5,40693.1332078,C13_151.0_133.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 151/133
6,0.0,C13_151.0_133.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 151/133
7,0.000707805775505,C13_151.0_133.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 151/133
8,0.0,C13_151.0_133.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 151/133
9,0.0,C13_151.0_133.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 151/133
10,0.0,C13_151.0_133.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 151/133
11,0.0,C13_151.0_133.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 151/133
0,46393.2294515,C13_149.0_131.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 149/131
1,89146.6139515,C13_149.0_131.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 149/131
2,46396.9214515,C13_149.0_131.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 149/131
3,76175.2454515,C13_149.0_131.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 149/131
4,61031.6139515,C13_149.0_131.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 149/131
5,92738.2714515,C13_149.0_131.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 149/131
6,0.0,C13_149.0_131.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 149/131
7,0.0,C13_149.0_131.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 149/131
8,0.0,C13_149.0_131.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 149/131
9,50.5464514667,C13_149.0_131.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 149/131
10,0.0,C13_149.0_131.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 149/131
11,0.0,C13_149.0_131.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 149/131
0,65855.8627299,C13_150.0_132.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 150/132
1,100262.59673,C13_150.0_132.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 150/132
2,61879.2132299,C13_150.0_132.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 150/132
3,90888.7627299,C13_150.0_132.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 150/132
4,81516.4877299,C13_150.0_132.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 150/132
5,109633.82073,C13_150.0_132.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 150/132
6,0.0,C13_150.0_132.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 150/132
7,0.32172989796,C13_150.0_132.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 150/132
