,Label,Sample Name,Background correction,name,formula
17,C13_134.0_116.0,G. [13C-glc] G9 240min,33266.0,Malate 134/116,C4H3O4
18,C13_134.0_116.0,A. [13C-glc] G9 0min,13111.0,Malate 134/116,C4H3O4
19,C13_134.0_116.0,A. [13C-glc] G9 0min,23636.0,Malate 134/116,C4H3O4
20,C13_134.0_116.0,A. [13C-glc] G9 0min,16449.0,Malate 134/116,C4H3O4
21,C13_134.0_116.0,A. [13C-glc] G9 0min,17605.0,Malate 134/116,C4H3O4
22,C13_134.0_116.0,A. [13C-glc] G9 0min,12919.0,Malate 134/116,C4H3O4
23,C13_134.0_116.0,A. [13C-glc] G9 0min,12211.0,Malate 134/116,C4H3O4
24,C13_134.0_116.0,C. [13C-glc] G9 15min,11445.0,Malate 134/116,C4H3O4
25,C13_134.0_116.0,C. [13C-glc] G9 15min,14139.0,Malate 134/116,C4H3O4
26,C13_134.0_116.0,C. [13C-glc] G9 15min,21973.0,Malate 134/116,C4H3O4
27,C13_134.0_116.0,C. [13C-glc] G9 15min,13830.0,Malate 134/116,C4H3O4
28,C13_134.0_116.0,C. [13C-glc] G9 15min,11060.0,Malate 134/116,C4H3O4
29,C13_134.0_116.0,C. [13C-glc] G9 15min,17475.0,Malate 134/116,C4H3O4
30,C13_134.0_116.0,B. [13C-glc] G9 5min,17220.0,Malate 134/116,C4H3O4
31,C13_134.0_116.0,B. [13C-glc] G9 5min,23127.0,Malate 134/116,C4H3O4
32,C13_134.0_116.0,B. [13C-glc] G9 5min,22997.0,Malate 134/116,C4H3O4
33,C13_134.0_116.0,B. [13C-glc] G9 5min,16706.0,Malate 134/116,C4H3O4
34,C13_134.0_116.0,B. [13C-glc] G9 5min,12342.0,Malate 134/116,C4H3O4
35,C13_134.0_116.0,B. [13C-glc] G9 5min,6820.0,Malate 134/116,C4H3O4
36,C13_134.0_116.0,D. [13C-glc] G9 30min,18888.0,Malate 134/116,C4H3O4
37,C13_134.0_116.0,D. [13C-glc] G9 30min,30703.0,Malate 134/116,C4H3O4
38,C13_134.0_116.0,D. [13C-glc] G9 30min,28901.0,Malate 134/116,C4H3O4
39,C13_134.0_116.0,D. [13C-glc] G9 30min,23641.0,Malate 134/116,C4H3O4
40,C13_134.0_116.0,D. [13C-glc] G9 30min,20298.0,Malate 134/116,C4H3O4
41,C13_134.0_116.0,D. [13C-glc] G9 30min,23638.0,Malate 134/116,C4H3O4
42,C13_134.0_116.0,F. [13C-glc] G9 120min,40839.0,Malate 134/116,C4H3O4
43,C13_134.0_116.0,F. [13C-glc] G9 120min,35321.0,Malate 134/116,C4H3O4
44,C13_134.0_116.0,F. [13C-glc] G9 120min,30440.0,Malate 134/116,C4H3O4
45,C13_134.0_116.0,F. [13C-glc] G9 120min,29161.0,Malate 134/116,C4H3O4
46,C13_134.0_116.0,F. [13C-glc] G9 120min,19658.0,Malate 134/116,C4H3O4
47,C13_134.0_116.0,F. [13C-glc] G9 120min,22739.0,Malate 134/116,C4H3O4
0,C13_136.0_118.0,E. [13C-glc] G9 60min,134408.0,Malate 136/118,C4H3O4
1,C13_136.0_118.0,E. [13C-glc] G9 60min,176520.0,Malate 136/118,C4H3O4
2,C13_136.0_118.0,E. [13C-glc] G9 60min,174465.0,Malate 136/118,C4H3O4
3,C13_136.0_118.0,E. [13C-glc] G9 60min,127482.0,Malate 136/118,C4H3O4
4,C13_136.0_118.0,E. [13C-glc] G9 60min,112720.0,Malate 136/118,C4H3O4
5,C13_136.0_118.0,E. [13C-glc] G9 60min,115151.0,Malate 136/118,C4H3O4
6,C13_136.0_118.0,"H. [6,6-DD-glc] G9 240min",0.0,Malate 136/118,C4H3O4
7,C13_136.0_118.0,"H. [6,6-DD-glc] G9 240min",0.0,Malate 136/118,C4H3O4
8,C13_136.0_118.0,"H. [6,6-DD-glc] G9 240min",0.0,Malate 136/118,C4H3O4
9,C13_136.0_118.0,"H. [6,6-DD-glc] G9 240min",0.0,Malate 136/118,C4H3O4
10,C13_136.0_118.0,"H. [6,6-DD-glc] G9 240min",0.0,Malate 136/118,C4H3O4
11,C13_136.0_118.0,"H. [6,6-DD-glc] G9 240min",0.0,Malate 136/118,C4H3O4
12,C13_136.0_118.0,G. [13C-glc] G9 240min,178824.0,Malate 136/118,C4H3O4
13,C13_136.0_118.0,G. [13C-glc] G9 240min,228892.0,Malate 136/118,C4H3O4
14,C13_136.0_118.0,G. [13C-glc] G9 240min,182933.0,Malate 136/118,C4H3O4
15,C13_136.0_118.0,G. [13C-glc] G9 240min,147632.0,Malate 136/118,C4H3O4
16,C13_136.0_118.0,G. [13C-glc] G9 240min,106167.0,Malate 136/118,C4H3O4
17,C13_136.0_118.0,G. [13C-glc] G9 240min,139801.0,Malate 136/118,C4H3O4
18,C13_136.0_118.0,A. [13C-glc] G9 0min,0.0,Malate 136/118,C4H3O4
19,C13_136.0_118.0,A. [13C-glc] G9 0min,0.0,Malate 136/118,C4H3O4
20,C13_136.0_118.0,A. [13C-glc] G9 0min,0.0,Malate 136/118,C4H3O4
21,C13_136.0_118.0,A. [13C-glc] G9 0min,3.0,Malate 136/118,C4H3O4
22,C13_136.0_118.0,A. [13C-glc] G9 0min,0.0,Malate 136/118,C4H3O4
23,C13_136.0_118.0,A. [13C-glc] G9 0min,0.0,Malate 136/118,C4H3O4
24,C13_136.0_118.0,C. [13C-glc] G9 15min,77666.0,Malate 136/118,C4H3O4
25,C13_136.0_118.0,C. [13C-glc] G9 15min,95771.0,Malate 136/118,C4H3O4
26,C13_136.0_118.0,C. [13C-glc] G9 15min,113354.0,Malate 136/118,C4H3O4
27,C13_136.0_118.0,C. [13C-glc] G9 15min,87319.0,Malate 136/118,C4H3O4
28,C13_136.0_118.0,C. [13C-glc] G9 15min,66629.0,Malate 136/118,C4H3O4
29,C13_136.0_118.0,C. [13C-glc] G9 15min,71508.0,Malate 136/118,C4H3O4
30,C13_136.0_118.0,B. [13C-glc] G9 5min,26964.0,Malate 136/118,C4H3O4
31,C13_136.0_118.0,B. [13C-glc] G9 5min,29531.0,Malate 136/118,C4H3O4
32,C13_136.0_118.0,B. [13C-glc] G9 5min,32998.0,Malate 136/118,C4H3O4
33,C13_136.0_118.0,B. [13C-glc] G9 5min,23626.0,Malate 136/118,C4H3O4
34,C13_136.0_118.0,B. [13C-glc] G9 5min,15664.0,Malate 136/118,C4H3O4
35,C13_136.0_118.0,B. [13C-glc] G9 5min,14381.0,Malate 136/118,C4H3O4
36,C13_136.0_118.0,D. [13C-glc] G9 30min,90513.0,Malate 136/118,C4H3O4
37,C13_136.0_118.0,D. [13C-glc] G9 30min,104501.0,Malate 136/118,C4H3O4
38,C13_136.0_118.0,D. [13C-glc] G9 30min,123496.0,Malate 136/118,C4H3O4
39,C13_136.0_118.0,D. [13C-glc] G9 30min,101292.0,Malate 136/118,C4H3O4
40,C13_136.0_118.0,D. [13C-glc] G9 30min,105781.0,Malate 136/118,C4H3O4
41,C13_136.0_118.0,D. [13C-glc] G9 30min,105912.0,Malate 136/118,C4H3O4
42,C13_136.0_118.0,F. [13C-glc] G9 120min,135441.0,Malate 136/118,C4H3O4
43,C13_136.0_118.0,F. [13C-glc] G9 120min,149432.0,Malate 136/118,C4H3O4
44,C13_136.0_118.0,F. [13C-glc] G9 120min,138067.0,Malate 136/118,C4H3O4
45,C13_136.0_118.0,F. [13C-glc] G9 120min,114513.0,Malate 136/118,C4H3O4
46,C13_136.0_118.0,F. [13C-glc] G9 120min,98467.0,Malate 136/118,C4H3O4
47,C13_136.0_118.0,F. [13C-glc] G9 120min,83833.0,Malate 136/118,C4H3O4
0,C13_137.0_119.0,E. [13C-glc] G9 60min,28628.0,Malate 137/119,C4H3O4
1,C13_137.0_119.0,E. [13C-glc] G9 60min,42881.0,Malate 137/119,C4H3O4
2,C13_137.0_119.0,E. [13C-glc] G9 60min,45574.0,Malate 137/119,C4H3O4
3,C13_137.0_119.0,E. [13C-glc] G9 60min,28884.0,Malate 137/119,C4H3O4
4,C13_137.0_119.0,E. [13C-glc] G9 60min,30684.0,Malate 137/119,C4H3O4
5,C13_137.0_119.0,E. [13C-glc] G9 60min,31710.0,Malate 137/119,C4H3O4
6,C13_137.0_119.0,"H. [6,6-DD-glc] G9 240min",0.0,Malate 137/119,C4H3O4
7,C13_137.0_119.0,"H. [6,6-DD-glc] G9 240min",0.0,Malate 137/119,C4H3O4
8,C13_137.0_119.0,"H. [6,6-DD-glc] G9 240min",0.0,Malate 137/119,C4H3O4
9,C13_137.0_119.0,"H. [6,6-DD-glc] G9 240min",0.0,Malate 137/119,C4H3O4
10,C13_137.0_119.0,"H. [6,6-DD-glc] G9 240min",0.0,Malate 137/119,C4H3O4
11,C13_137.0_119.0,"H. [6,6-DD-glc] G9 240min",0.0,Malate 137/119,C4H3O4
12,C13_137.0_119.0,G. [13C-glc] G9 240min,55717.0,Malate 137/119,C4H3O4
13,C13_137.0_119.0,G. [13C-glc] G9 240min,76768.0,Malate 137/119,C4H3O4
14,C13_137.0_119.0,G. [13C-glc] G9 240min,63158.0,Malate 137/119,C4H3O4
15,C13_137.0_119.0,G. [13C-glc] G9 240min,50581.0,Malate 137/119,C4H3O4
16,C13_137.0_119.0,G. [13C-glc] G9 240min,37229.0,Malate 137/119,C4H3O4
17,C13_137.0_119.0,G. [13C-glc] G9 240min,46473.0,Malate 137/119,C4H3O4
18,C13_137.0_119.0,A. [13C-glc] G9 0min,0.0,Malate 137/119,C4H3O4
19,C13_137.0_119.0,A. [13C-glc] G9 0min,0.0,Malate 137/119,C4H3O4
20,C13_137.0_119.0,A. [13C-glc] G9 0min,0.0,Malate 137/119,C4H3O4
21,C13_137.0_119.0,A. [13C-glc] G9 0min,0.0,Malate 137/119,C4H3O4
22,C13_137.0_119.0,A. [13C-glc] G9 0min,0.0,Malate 137/119,C4H3O4
23,C13_137.0_119.0,A. [13C-glc] G9 0min,0.0,Malate 137/119,C4H3O4
24,C13_137.0_119.0,C. [13C-glc] G9 15min,5265.0,Malate 137/119,C4H3O4
25,C13_137.0_119.0,C. [13C-glc] G9 15min,4622.0,Malate 137/119,C4H3O4
26,C13_137.0_119.0,C. [13C-glc] G9 15min,5267.0,Malate 137/119,C4H3O4
27,C13_137.0_119.0,C. [13C-glc] G9 15min,4625.0,Malate 137/119,C4H3O4
28,C13_137.0_119.0,C. [13C-glc] G9 15min,3468.0,Malate 137/119,C4H3O4
