,Intensity,Name,Glucose Concentration,Modified,Original Filename,Sample Name,Time,Formula,Parent,Parent_Formula,Label
6890,371597.3659,Malate 133/115,G9,True,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 166),C. [13C-glc] G9 15min,15min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6891,386533.3915,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 167),D. [13C-glc] G9 30min,30min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6892,297828.9005,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 168),E. [13C-glc] G9 60min,60min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6893,294041.404,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 169),F. [13C-glc] G9 120min,120min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6894,392566.9495,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 170),G. [13C-glc] G9 240min,240min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6895,598339.307,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 171),"H. [6,6-DD-glc] G9 240min",240min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6896,482043.0835,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 172),A. [13C-glc] G9 0min,0min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6897,416959.317,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 173),B. [13C-glc] G9 5min,5min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6898,438008.4495,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 174),C. [13C-glc] G9 15min,15min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6899,395644.442,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 175),D. [13C-glc] G9 30min,30min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
