,Intensity,Name,Modified,Original Filename,Sample Name,Some garbage,Formula,Parent,Parent_Formula,Label
59,5510349.5,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 453)",D. [13C-glc] G2.5 30min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
60,4593747.55,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 454)",E. [13C-glc] G2.5 60min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
61,4377442.1,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 455)",F. [13C-glc] G2.5 120min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
62,4911906.31937,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 456)",G. [13C-glc] G2.5 240min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
63,9873042.042,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 457)","H. [6,6-DD-glc] G2.5 240min",0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
64,11620848.9084,Citrate 191/111,True,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 458)",I. [13C-glc] G5 0min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
65,8681242.656,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 459)",J. [13C-glc] G5 5min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
66,9089674.582,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 460)",K. [13C-glc] G5 15min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
67,5929727.3,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 461)",L. [13C-glc] G5 30min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
68,4390913.2,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 462)",M. [13C-glc] G5 60min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
69,3474778.45,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 463)",N. [13C-glc] G5 120min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
70,3950263.35,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 464)",O. [13C-glc] G5 240min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
71,8624574.998,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 465)","P. [6,6-DD-glc] G5 240min",0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
72,20991068.348,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 466)",Q. [13C-glc] G7 0min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
73,16273277.74,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 467)",R. [13C-glc] G7 5min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
74,11528817.16,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 468)",S. [13C-glc] G7 15min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
75,7098014.15,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 469)",T. [13C-glc] G7 30min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
76,4952126.55,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 470)",U. [13C-glc] G7 60min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
77,4632515.1,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 471)",V. [13C-glc] G7 120min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
78,5376865.0,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 472)",W. [13C-glc] G7 240min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
79,15023343.59,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 473)","X. [6,6-DD-glc] G7 240min",0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
80,9056404.096,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 474)",A. [13C-glc] G2.5 0min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
81,8701895.76,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 475)",B. [13C-glc] G2.5 5min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
82,6430898.85,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 476)",C. [13C-glc] G2.5 15min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
83,5334077.45,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 477)",D. [13C-glc] G2.5 30min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
84,4597765.65,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 478)",E. [13C-glc] G2.5 60min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
85,5040545.7,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 479)",F. [13C-glc] G2.5 120min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
86,5485926.95,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 480)",G. [13C-glc] G2.5 240min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
87,8540102.396,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 481)","H. [6,6-DD-glc] G2.5 240min",0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
88,11887681.8681,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 482)",I. [13C-glc] G5 0min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
89,10396029.09,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 483)",J. [13C-glc] G5 5min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
90,7039468.85,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 484)",K. [13C-glc] G5 15min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
91,4999566.45,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 485)",L. [13C-glc] G5 30min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
92,3622688.9,Citrate 191/111,False,"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 486)",M. [13C-glc] G5 60min,0,C5H3O3,Citrate 191/111,C6H7O7,C13_191.0_111.0
